"Survey ID","User ID","Start time","Submission time","Time to complete","Meal ID","Meal name","Food ID","Search term","Intake24 food code","Food description","NDNS food code","Food group code","Food group","Ready meal","Brand","Serving size (g/ml)","Serving image","Leftovers (g/ml)","Leftovers image","Portion size (g/ml)","Reasonable amount","protein","fat","carbohydrate","energy_kcal","energy_kj","alcohol","total_sugars","nmes","satd_fa","cholesterol","vitamin_a","vitamin_d","vitamin_c","vitamin_e","folate","sodium","calcium","iron","zinc","selenium"
"53be44a4e4b0b4a1c7d44eea","demo42","10/07/14 03:42","10/07/14 03:45","2 min","0","Breakfast","0","banana","BANA","Bananas","1977","73","Fresh fruit","no","N/A","186.00","N/A","0.00","N/A","186.00","yes","2.23","0.56","43.15","176.70","749.58","0.00","38.87","0.00","0.20","0.00","7.44","0.00","20.46","0.56","26.04","1.86","11.16","0.56","0.37","1.86"
"53be44a4e4b0b4a1c7d44eea","demo42","10/07/14 03:42","10/07/14 03:45","2 min","0","Breakfast","1","tea","BTEA","Tea","2314","91","Tea (excluding added sugar)","no","N/A","519.44","N/A","0.00","N/A","519.44","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.97","0.00","0.00","0.00","0.00","0.00"
"53be44a4e4b0b4a1c7d44eea","demo42","10/07/14 03:42","10/07/14 03:45","2 min","1","Early snack or drink","0","fish","BCTA","Fish in batter, from takeaway","7808","51","Fish in batter: all fried fish in batter","yes","N/A","169.00","https://intake24.co.uk/intake24-images/Gcod07.jpg","0.00","N/A","169.00","yes","28.90","23.66","16.90","392.08","1637.61","0.00","0.00","0.00","3.33","92.95","0.00","0.00","0.00","1.01","45.63","304.20","304.20","0.68","0.85","25.35"
"53be44a4e4b0b4a1c7d44eea","demo42","10/07/14 03:42","10/07/14 03:45","2 min","1","Early snack or drink","1","associated food prompt","CRNB","Cranberry sauce","9396","97","Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce","no","N/A","18.50","N/A","0.00","N/A","18.50","yes","0.06","0.00","11.80","44.22","189.81","0.00","11.80","11.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.85","0.93","0.06","0.02","0.19"
"53be44a4e4b0b4a1c7d44eea","demo42","10/07/14 03:42","10/07/14 03:45","2 min","1","Early snack or drink","2","chips","FCOB","Oven chips","10561","57","Oven chips","no","N/A","118.00","https://intake24.co.uk/intake24-images/chips/curf3.jpg","0.00","N/A","118.00","yes","3.78","5.78","41.65","223.02","944.00","0.00","1.18","0.00","0.92","0.00","0.00","0.00","1.18","1.65","25.96","36.58","16.52","0.83","0.47","0.00"
"53be44a4e4b0b4a1c7d44eea","demo42","10/07/14 03:42","10/07/14 03:45","2 min","1","Early snack or drink","3","associated food prompt","TKET","Tomato ketchup","2448","95","Ketchup","no","N/A","46.00","https://intake24.co.uk/intake24-images/424.jpg","0.00","N/A","46.00","yes","0.97","0.00","12.24","49.68","212.06","0.00","10.67","8.97","0.00","0.00","36.34","0.00","0.92","0.46","0.46","377.20","11.50","0.55","0.05","0.00"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","0","Breakfast","0","onion","ONSF","Onions, fried","1789","70","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad","no","N/A","150.00","N/A","0.00","N/A","150.00","yes","2.25","32.10","14.40","351.00","1449.00","0.00","14.40","0.00","3.78","0.00","3.00","0.00","6.45","7.65","31.50","6.00","45.00","0.60","0.30","1.50"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","0","Breakfast","1","egg","EOIL","Fried egg","756","37","Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached","no","N/A","150.00","N/A","0.00","N/A","150.00","yes","20.70","26.85","0.00","324.00","1345.50","0.00","0.00","0.00","5.55","576.00","207.00","5.18","0.00","4.80","54.00","253.50","75.00","2.85","1.80","37.50"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","0","Breakfast","2","sweet potato","PSWT","Sweet potato, baked","10553","64","Jacket potatoes: baked in skins","no","N/A","71.00","https://intake24.co.uk/intake24-images/Gbkd01.jpg","0.00","N/A","71.00","yes","1.14","0.28","19.81","81.65","346.48","0.00","10.30","0.00","0.07","0.00","608.47","0.00","16.33","4.26","6.39","36.92","22.01","0.64","0.28","0.71"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","0","Breakfast","3","water","SMWB","Bottled mineral water, still or fizzy","8333","90","Water","no","N/A","750.00","N/A","0.00","N/A","750.00","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
